area	amb	esta	pont	a_amb	a_esta	amb_esta	a_amb_esta	a_amb_esta_p	Azteca_cf._fasciata	Dolichoderus_cf._diversus	Ectatomma_edentatum	Brachymyrmex_sp.1	Camponotus_crassus	Camponotus_sp.3	Camponotus_sp.4	Acromyrmex_sp.1	Cephalotes_depressus	Pheidole_cf._radoszkowskii	Pheidole_vallifica	Pheidole_cf._gibbata	Pheidole_cf._fowleri	Pheidole_cf._obscurithorax	Pheidole_susannae	Pheidole_sp.1	Pheidole_sp.7	Pheidole_sp.8	Solenopsis_sp.1	Solenopsis_sp.2	Solenopsis_sp.3	Odontomachus_opaciventris	Pseudomyrmex_tenuis	Pseudomyrmex_cf._elongatus	Pseudomyrmex_gracilis	Pseudomyrmex_psw_005
A2	solo	seca	p04	A2_solo	A2_seca	solo_seca	A2_solo_seca	A2_solo_seca_p04	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2	solo	seca	p05	A2_solo	A2_seca	solo_seca	A2_solo_seca	A2_solo_seca_p05	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2	solo	seca	p06	A2_solo	A2_seca	solo_seca	A2_solo_seca	A2_solo_seca_p06	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2	solo	seca	p08	A2_solo	A2_seca	solo_seca	A2_solo_seca	A2_solo_seca_p08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A2	solo	seca	p09	A2_solo	A2_seca	solo_seca	A2_solo_seca	A2_solo_seca_p09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A2	solo	seca	p11	A2_solo	A2_seca	solo_seca	A2_solo_seca	A2_solo_seca_p11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A2	solo	seca	p13	A2_solo	A2_seca	solo_seca	A2_solo_seca	A2_solo_seca_p13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A2	solo	seca	p16	A2_solo	A2_seca	solo_seca	A2_solo_seca	A2_solo_seca_p16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2	solo	seca	p17	A2_solo	A2_seca	solo_seca	A2_solo_seca	A2_solo_seca_p17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A2	solo	seca	p18	A2_solo	A2_seca	solo_seca	A2_solo_seca	A2_solo_seca_p18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A2	solo	seca	p20	A2_solo	A2_seca	solo_seca	A2_solo_seca	A2_solo_seca_p20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
